Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1844.0,OUT049
FDW14,1576.0,OUT017
NCN55,1908.0,OUT010
FDQ58,2608.0,OUT017
FDY38,5196.0,OUT027
FDH56,1904.0,OUT046
FDL48,596.0,OUT018
FDC48,2788.0,OUT027
FDN33,1524.0,OUT045
FDA36,3064.0,OUT017
FDT44,2000.0,OUT017
FDQ56,1316.0,OUT045
NCC54,1864.0,OUT019
FDU11,2020.0,OUT049
DRL59,876.0,OUT013
FDM24,2540.0,OUT049
FDI57,3108.0,OUT045
DRC12,2764.0,OUT018
NCM42,3204.0,OUT027
FDA46,1148.0,OUT010
FDA31,2780.0,OUT013
NCJ31,3896.0,OUT035
FDG52,800.0,OUT046
NCL19,388.0,OUT019
FDS10,3040.0,OUT035
FDX22,1444.0,OUT010
NCF19,924.0,OUT035
NCE06,2520.0,OUT046
DRC27,3832.0,OUT046
FDE21,2028.0,OUT035
NCR42,-1352.0,OUT019
FDX51,2852.0,OUT018
NCR06,428.0,OUT018
FDU31,4948.0,OUT027
FDU59,2704.0,OUT017
FDR03,4788.0,OUT027
FDS49,2772.0,OUT027
FDD48,-68.0,OUT010
NCF18,3112.0,OUT017
NCD43,3116.0,OUT027
NCD54,1988.0,OUT018
FDY19,-20.0,OUT010
NCY54,2808.0,OUT017
NCL19,2020.0,OUT018
FDP23,1540.0,OUT010
FDC26,1804.0,OUT013
FDR14,-1028.0,OUT010
NCS41,3048.0,OUT035
FDF41,4048.0,OUT035
FDU34,2004.0,OUT046
DRH11,904.0,OUT046
FDM03,1764.0,OUT013
FDS31,3048.0,OUT017
FDJ20,2096.0,OUT017
FDV44,4508.0,OUT027
FDG02,3084.0,OUT049
FDA09,2908.0,OUT013
FDT04,692.0,OUT013
FDL58,2296.0,OUT019
FDE52,1468.0,OUT045
FDW12,2504.0,OUT035
FDL51,3552.0,OUT017
NCY42,3700.0,OUT027
FDR07,1660.0,OUT017
FDN40,2388.0,OUT045
FDB35,2964.0,OUT027
FDA22,2736.0,OUT017
NCL06,4112.0,OUT046
FDI35,2908.0,OUT013
NCW42,3436.0,OUT045
NCX06,2924.0,OUT049
FDC37,3204.0,OUT027
FDZ14,1716.0,OUT018
DRG49,3924.0,OUT049
NCG06,3980.0,OUT045
DRC36,2732.0,OUT045
FDV21,72.0,OUT019
FDB53,2360.0,OUT046
DRP47,2056.0,OUT019
FDA14,2348.0,OUT013
DRC24,2572.0,OUT035
FDW21,1404.0,OUT018
NCH29,1548.0,OUT046
FDU58,3068.0,OUT013
FDY27,2936.0,OUT017
FDV56,1956.0,OUT035
FDT59,3648.0,OUT046
FDB23,3620.0,OUT046
FDR49,716.0,OUT045
FDB03,1924.0,OUT010
FDN39,2636.0,OUT045
FDX02,5004.0,OUT027
FDQ16,3204.0,OUT027
FDU35,1332.0,OUT018
NCT29,1956.0,OUT013
FDZ27,824.0,OUT046
FDN57,2344.0,OUT017
FDA03,2100.0,OUT018
FDZ36,2924.0,OUT045
NCU05,1316.0,OUT013
FDT39,2164.0,OUT018
FDK60,1728.0,OUT017
FDZ25,2856.0,OUT017
FDG12,2032.0,OUT046
DRB01,1132.0,OUT019
NCC43,5396.0,OUT027
FDX13,2036.0,OUT019
FDM22,1012.0,OUT049
FDJ03,2324.0,OUT027
FDU14,3676.0,OUT018
FDB33,628.0,OUT010
FDP27,2996.0,OUT046
FDO38,-652.0,OUT010
FDE28,5172.0,OUT027
FDO27,1704.0,OUT035
DRL23,3188.0,OUT027
FDS28,952.0,OUT046
FDX24,1532.0,OUT013
FDZ02,1744.0,OUT035
FDL46,1836.0,OUT045
FDS60,4316.0,OUT027
NCO06,640.0,OUT017
FDO16,1524.0,OUT035
FDC60,1516.0,OUT049
FDA48,3196.0,OUT018
FDZ36,4460.0,OUT027
FDK27,1884.0,OUT045
FDW23,364.0,OUT018
FDM14,1500.0,OUT018
FDM14,1772.0,OUT013
FDW60,2588.0,OUT018
FDE21,1900.0,OUT013
NCM42,1884.0,OUT035
FDY59,-364.0,OUT010
DRI49,1372.0,OUT049
FDT28,516.0,OUT019
FDQ22,404.0,OUT018
FDR60,1324.0,OUT049
FDC50,-380.0,OUT019
FDV24,2444.0,OUT013
DRF48,1012.0,OUT010
FDQ47,628.0,OUT046
DRN36,1652.0,OUT049
NCY06,2184.0,OUT035
FDE52,1664.0,OUT035
NCB54,1948.0,OUT045
NCF31,2552.0,OUT035
FDJ08,4468.0,OUT027
NCC07,1792.0,OUT017
NCD19,2380.0,OUT027
FDL46,2004.0,OUT049
FDM20,3844.0,OUT045
NCI06,924.0,OUT010
DRM11,4216.0,OUT035
NCH07,2204.0,OUT018
FDS23,2068.0,OUT013
FDO49,588.0,OUT018
FDS35,1148.0,OUT049
DRK39,1292.0,OUT045
DRI39,1020.0,OUT049
FDV04,2632.0,OUT017
NCN14,3024.0,OUT035
FDH08,3668.0,OUT013
FDS20,2904.0,OUT046
FDV40,1348.0,OUT049
FDZ48,-124.0,OUT010
FDS24,2932.0,OUT027
FDK44,2852.0,OUT049
FDS48,2356.0,OUT045
FDK26,1108.0,OUT010
FDD23,2980.0,OUT045
NCH54,2632.0,OUT017
NCP14,-236.0,OUT010
FDM60,-1172.0,OUT010
FDV24,2520.0,OUT017
FDH08,3324.0,OUT018
FDS12,3476.0,OUT027
FDR39,4340.0,OUT027
FDP12,2140.0,OUT027
DRF60,5204.0,OUT027
FDC09,1852.0,OUT035
FDF50,2884.0,OUT018
FDG28,4060.0,OUT035
NCE19,976.0,OUT017
NCM53,-180.0,OUT010
NCN18,1836.0,OUT049
FDF32,3332.0,OUT035
FDF11,3860.0,OUT013
DRI59,3644.0,OUT049
NCG54,2820.0,OUT035
FDM44,1628.0,OUT046
FDT57,3452.0,OUT018
FDV24,2412.0,OUT046
FDI50,1772.0,OUT019
FDS09,1036.0,OUT035
NCC31,3908.0,OUT027
FDQ07,1604.0,OUT019
FDC22,3160.0,OUT017
FDZ56,2688.0,OUT046
FDZ40,-1004.0,OUT019
FDS46,3412.0,OUT027
DRD24,2172.0,OUT045
FDV45,3104.0,OUT017
FDL26,2444.0,OUT045
FDA56,1692.0,OUT018
FDN27,1924.0,OUT046
FDM20,3964.0,OUT049
FDO16,1444.0,OUT017
FDL03,3312.0,OUT035
FDE58,1920.0,OUT046
FDI02,3308.0,OUT027
NCC55,-1216.0,OUT019
FDR03,3044.0,OUT018
FDB14,1648.0,OUT017
FDR45,3836.0,OUT013
NCN07,2160.0,OUT017
FDM51,-176.0,OUT019
FDT52,5372.0,OUT027
FDL26,2464.0,OUT046
NCZ42,3760.0,OUT046
DRI47,420.0,OUT019
FDW40,2308.0,OUT013
FDN34,2736.0,OUT046
FDS01,2992.0,OUT035
NCG55,1812.0,OUT045
FDC11,1564.0,OUT035
FDX35,3324.0,OUT018
NCB06,2524.0,OUT046
FDR09,2196.0,OUT019
FDC53,1664.0,OUT017
FDY45,4060.0,OUT013
FDA22,780.0,OUT010
FDE02,1676.0,OUT035
FDW21,1636.0,OUT045
FDV34,1244.0,OUT046
FDS59,1876.0,OUT049
NCW17,2128.0,OUT017
NCK54,1944.0,OUT046
FDG17,2008.0,OUT019
FDG35,2912.0,OUT017
FDD08,-1260.0,OUT010
NCO07,3420.0,OUT017
FDJ10,372.0,OUT010
FDW36,1772.0,OUT017
FDW21,-284.0,OUT010
FDY19,2000.0,OUT017
DRE03,812.0,OUT013
NCC55,732.0,OUT049
FDH52,-812.0,OUT010
FDO09,4312.0,OUT017
FDU43,3788.0,OUT045
FDX09,860.0,OUT010
FDH40,-520.0,OUT019
FDW58,1808.0,OUT017
FDC47,3672.0,OUT017
NCR41,1684.0,OUT035
DRG49,3984.0,OUT035
FDC52,3948.0,OUT027
FDY13,1216.0,OUT046
FDY35,812.0,OUT013
FDI35,2992.0,OUT017
NCU18,2316.0,OUT049
FDY33,2284.0,OUT018
FDC15,3956.0,OUT027
FDU01,3108.0,OUT049
NCU42,2676.0,OUT046
NCV29,2516.0,OUT018
NCY30,2988.0,OUT017
FDQ46,1876.0,OUT049
FDG58,3956.0,OUT027
FDK33,3480.0,OUT017
NCD07,1820.0,OUT045
NCX29,3732.0,OUT027
NCT42,2356.0,OUT013
DRN59,924.0,OUT035
FDI44,1440.0,OUT035
FDA45,2924.0,OUT049
FDP31,1060.0,OUT045
FDY01,1868.0,OUT046
FDT09,1892.0,OUT018
DRH03,2996.0,OUT027
FDA36,2676.0,OUT018
NCF31,2512.0,OUT017
FDG14,2540.0,OUT049
FDG28,5396.0,OUT027
FDU14,4052.0,OUT049
FDY47,248.0,OUT019
FDI56,1532.0,OUT049
DRD01,980.0,OUT013
FDM22,956.0,OUT046
FDH33,732.0,OUT013
DRZ24,1916.0,OUT013
NCQ38,1676.0,OUT046
FDO16,2836.0,OUT027
FDU07,3844.0,OUT027
NCB07,3076.0,OUT013
FDU48,2060.0,OUT045
NCM43,2548.0,OUT045
FDR31,428.0,OUT010
DRK49,412.0,OUT018
NCI30,1932.0,OUT010
DRD60,2960.0,OUT017
NCG19,3684.0,OUT046
FDH12,1828.0,OUT035
FDM32,1668.0,OUT035
FDM27,2668.0,OUT035
NCU53,4076.0,OUT027
NCQ18,1560.0,OUT046
FDS10,2884.0,OUT013
FDB33,3972.0,OUT027
FDI12,1452.0,OUT013
